online_order,book_table,votes,rest_type,cuisines,cost,menu_item,type,city
1,0,6,92,1502,500.0,6583,2,13
0,0,250,19,627,600.0,8778,4,15
1,0,46,19,525,450.0,8518,4,12
1,0,0,93,1761,350.0,8116,2,23
1,0,134,27,792,650.0,8778,4,29
0,0,6,78,1802,200.0,8778,4,11
0,0,41,27,1595,600.0,8778,4,28
1,0,858,27,2600,1800.0,8778,2,11
0,1,2713,76,1054,1200.0,8778,5,22
0,0,7,8,1346,1000.0,8778,4,8
1,0,274,19,647,600.0,8778,1,26
1,0,119,27,113,800.0,1600,2,15
1,0,34,78,1238,200.0,8778,4,0
1,0,70,78,388,400.0,3420,4,21
1,0,0,27,1872,600.0,6186,2,0
1,0,15,3,271,400.0,8778,2,16
0,0,0,92,2281,150.0,8778,2,24
1,1,4750,27,1852,1500.0,8778,2,21
0,0,0,92,1761,500.0,8778,2,29
0,0,252,27,1834,1000.0,8778,4,7
1,1,302,27,1386,1000.0,8778,3,27
1,0,147,78,2256,600.0,8778,4,21
0,0,0,0,254,400.0,8778,2,26
1,0,10,78,2321,100.0,8778,2,0
0,0,465,32,250,1500.0,8778,4,21
1,0,5,27,2152,600.0,8778,2,6
1,0,172,19,1148,700.0,8778,4,14
1,0,27,0,1155,400.0,8778,2,21
1,0,0,39,2281,300.0,8778,2,18
0,0,4,8,1834,1000.0,8778,5,19
0,1,5281,28,5,2500.0,8778,4,20
1,0,132,19,769,400.0,8778,4,0
0,0,0,39,1802,500.0,8778,2,4
1,0,129,40,1159,350.0,8778,2,10
1,0,39,27,1857,550.0,8778,2,22
1,0,2174,40,1449,400.0,7907,3,25
0,1,605,28,216,2500.0,8778,4,20
1,0,25,39,1808,300.0,8778,2,8
0,0,4428,33,15,1200.0,8778,6,7
0,0,7,78,1761,150.0,8778,4,21
1,0,120,78,2252,750.0,8778,2,8
0,0,7,59,1321,150.0,8778,4,29
0,0,63,20,676,600.0,8778,3,17
1,0,395,78,1761,400.0,2617,2,19
0,1,2073,27,1761,1500.0,8778,4,29
0,0,14,27,880,1000.0,8778,4,16
1,0,393,27,1383,750.0,8778,2,16
1,0,34,0,263,500.0,6906,2,12
0,0,4,78,977,400.0,8778,4,15
0,0,17,59,1449,200.0,8778,3,23
1,0,62,78,1293,300.0,8778,4,18
1,0,19,78,2474,400.0,2599,4,0
1,0,790,78,130,400.0,8778,4,27
0,0,11,40,1174,150.0,8778,3,8
1,0,34,0,273,300.0,1282,3,25
0,0,72,78,2583,555.4315664,8778,4,16
0,0,193,27,2398,500.0,8778,4,2
1,1,459,28,1761,1500.0,8778,4,17
1,0,23,92,254,200.0,1205,2,19
0,0,4,78,792,150.0,8778,4,19
1,0,207,39,1802,450.0,3596,2,13
0,0,11,23,571,400.0,8778,3,18
0,0,4,19,686,500.0,8778,1,3
1,0,11,78,1761,300.0,8778,2,13
0,0,124,19,702,500.0,8778,2,12
1,0,264,39,1304,400.0,8778,2,11
1,0,68,78,429,250.0,8778,4,2
1,0,110,92,1510,400.0,1558,2,19
1,0,134,27,2367,550.0,8778,2,7
1,1,4321,67,978,1600.0,4113,4,12
1,0,10,78,1321,300.0,8778,4,8
1,0,72,39,1023,250.0,8778,2,19
0,0,115,29,1627,1000.0,8778,1,5
0,0,11,53,54,300.0,8778,2,2
0,0,50,27,302,500.0,8778,2,29
0,1,597,28,216,2500.0,8778,5,9
0,0,16,78,1761,200.0,8778,2,11
1,0,66,78,2421,300.0,8778,4,0
1,0,90,0,263,400.0,8778,2,10
1,1,1026,27,2080,800.0,8778,4,26
0,0,217,27,1956,450.0,8778,2,1
1,0,414,78,119,300.0,4897,2,19
1,0,261,19,557,700.0,8778,1,20
1,0,50,78,1311,250.0,8778,2,17
1,0,74,78,1761,300.0,8778,2,5
1,1,792,27,1761,900.0,8778,4,0
1,0,721,27,2124,500.0,8778,4,11
0,0,4,8,880,1000.0,8778,4,21
1,0,6,78,1834,450.0,8778,2,27
1,0,203,78,2211,300.0,8778,2,17
1,0,464,19,572,500.0,8778,2,0
0,0,20,78,2381,150.0,8778,4,26
0,0,13,0,263,300.0,8778,2,3
1,0,46,27,2152,600.0,8778,2,2
0,0,66,19,557,300.0,8778,1,0
0,0,34,28,1976,800.0,8778,5,29
1,0,9,19,557,300.0,8778,2,27
1,0,0,78,14,200.0,1056,4,8
0,0,1833,78,1338,200.0,8778,4,13
1,0,9,78,1834,400.0,8778,2,3
0,0,10,0,254,250.0,8778,2,11
1,0,33,40,1153,400.0,8778,2,7
1,1,332,33,3,1200.0,8778,6,28
0,1,10512,28,2008,1400.0,8778,4,17
1,0,36,78,1646,300.0,1900,4,16
1,1,421,27,2314,1500.0,8778,4,15
1,0,0,6,273,200.0,8778,2,19
1,0,28,78,388,300.0,8778,2,20
1,0,0,39,1686,800.0,8778,2,13
1,1,2099,27,2273,800.0,8778,2,25
1,0,4,78,887,300.0,8778,4,15
0,0,115,27,1147,1000.0,8778,2,16
0,0,0,78,1225,300.0,8778,4,16
0,0,0,78,2353,400.0,8778,2,17
1,0,394,27,1383,750.0,2483,2,17
1,0,0,78,1761,400.0,8778,4,17
0,0,30,27,1951,450.0,8778,2,12
0,0,121,27,1834,600.0,8778,4,7
0,0,11,8,2469,700.0,8778,6,21
1,0,157,27,1834,450.0,8778,2,7
1,0,6,92,1502,500.0,6581,2,6
0,0,82,61,2250,1000.0,8778,4,12
1,0,40,78,1834,250.0,8778,4,19
1,1,859,27,2363,1400.0,8778,4,21
1,0,8,78,880,300.0,8778,2,2
0,0,19,0,263,300.0,8778,3,16
1,0,179,78,2562,300.0,8778,2,10
1,0,46,6,271,400.0,8778,3,5
1,0,316,27,2272,1200.0,8778,2,26
0,0,0,93,2136,500.0,8778,4,6
1,0,673,78,2571,250.0,2902,2,22
1,1,475,27,1945,1700.0,8778,4,7
0,0,7,27,2182,1000.0,8778,4,7
1,0,27,0,1155,400.0,7803,3,14
1,0,9,78,2537,200.0,8778,2,19
1,0,256,27,1664,700.0,8778,4,21
0,0,138,27,1778,800.0,8778,4,19
0,0,17,78,841,400.0,8778,4,15
1,0,42,40,1178,150.0,4544,2,9
0,0,40,78,2547,150.0,8778,4,10
1,0,166,78,1215,300.0,8778,2,19
1,1,681,27,2086,1500.0,8778,0,17
1,1,389,10,1361,1600.0,8778,2,11
0,0,2303,27,92,800.0,8778,2,16
1,0,273,27,1991,900.0,4003,2,17
0,0,33,78,2421,400.0,8778,4,5
1,0,306,78,2289,400.0,2390,2,15
0,0,0,78,135,400.0,8778,2,2
0,0,4,78,1233,200.0,8778,4,16
1,0,98,53,2618,400.0,8778,4,8
1,0,24,78,1761,250.0,8778,4,17
0,0,161,27,470,600.0,8778,4,14
1,0,113,88,1699,400.0,8778,2,13
1,0,105,27,1929,500.0,8778,4,9
1,1,431,27,1761,800.0,8778,4,3
0,0,24,10,300,1900.0,8778,4,21
0,0,1209,19,651,650.0,8778,2,18
1,0,24,27,1834,550.0,8778,4,15
1,0,77,42,1159,300.0,8778,3,11
1,0,0,78,1215,250.0,7048,2,13
0,0,60,27,1215,800.0,8778,2,23
0,0,0,78,91,300.0,8778,4,29
1,1,58,27,792,1500.0,5235,4,11
0,0,61,27,513,600.0,8778,4,1
0,0,11,78,792,300.0,8778,2,15
1,0,11,78,1344,200.0,3929,2,13
1,0,37,6,273,400.0,8778,4,13
1,0,69,27,2012,650.0,6127,2,24
0,1,685,27,949,1400.0,8778,2,17
1,0,169,16,1164,400.0,4454,2,18
1,0,14,78,2432,250.0,8778,2,1
0,0,25,27,1791,550.0,8778,2,12
1,1,300,27,1386,1000.0,805,2,18
0,0,70,8,1834,1500.0,8778,6,17
1,1,3061,28,2048,1500.0,3131,6,4
1,1,499,22,632,700.0,8778,4,10
0,0,209,26,602,400.0,8778,2,17
0,0,6,19,557,400.0,8778,1,21
1,0,8,78,1215,150.0,8778,2,2
0,0,0,78,1395,500.0,8778,4,6
1,0,572,27,326,600.0,8778,2,10
0,0,0,93,1796,400.0,8778,2,6
0,0,7,92,2564,200.0,8778,2,23
1,0,345,92,1811,450.0,2639,2,12
1,0,56,92,1939,400.0,8778,2,5
1,0,141,19,652,650.0,8778,4,15
0,0,0,78,2321,120.0,8778,2,25
0,0,7,93,1044,300.0,8778,4,8
0,0,70,27,2340,650.0,8778,4,6
1,0,151,78,2256,500.0,6061,4,14
1,1,2232,10,1879,1400.0,5711,6,28
1,0,4,92,254,200.0,8778,3,26
0,0,115,27,1834,800.0,8778,2,23
0,0,0,78,2136,300.0,8778,4,13
1,0,19,78,1857,400.0,4871,4,28
1,0,406,78,392,400.0,8778,4,0
1,0,313,78,1817,500.0,1726,4,13
0,0,295,19,731,850.0,8778,2,19
1,0,74,92,1326,300.0,8778,2,0
0,0,10,53,2474,200.0,8778,2,20
1,0,14,14,343,400.0,8738,2,18
1,1,784,27,1088,800.0,8778,2,3
0,0,12,19,778,800.0,8778,5,27
1,0,34,78,1761,300.0,6155,4,19
0,1,1204,27,1621,1100.0,8778,4,20
1,0,11,78,2381,150.0,8778,4,4
0,0,0,57,1215,300.0,8778,2,28
0,1,119,60,1353,2500.0,8778,5,8
1,0,28,14,375,150.0,8778,2,8
1,0,9,27,956,600.0,8778,2,10
1,0,12,27,2091,800.0,8778,4,15
0,1,189,28,1876,1000.0,8778,4,5
0,0,400,19,675,700.0,8778,1,26
1,0,1135,19,687,800.0,8778,2,20
0,0,22,82,1277,300.0,8778,2,17
1,0,24,0,254,300.0,3658,2,22
0,1,176,27,1763,1350.0,8778,4,3
0,0,0,27,95,500.0,8778,4,8
0,0,0,78,2381,300.0,8778,4,26
1,0,314,92,1418,650.0,5101,2,16
0,0,203,27,1996,900.0,8778,0,12
1,0,17,78,839,300.0,8778,2,1
0,0,41,0,254,500.0,8778,2,15
1,0,627,53,388,450.0,8778,2,6
1,0,551,78,2457,350.0,8778,2,11
1,0,6,39,1786,450.0,1345,2,18
1,0,0,78,2285,250.0,8778,4,5
1,0,498,78,1834,300.0,8778,2,24
